Sample,Antigen,IgG1,IgG1f,IgG3,IgG3f
51,WT.S,33108.294728909146,3514.459433987628,1983131.9777711239,2225103.6781734875
51,WT.S1,6432.253689522659,1104.3205251170664,1178368.295643496,873680.7549058244
51,WT.S2,1332476.645431489,2935.473940088828,3769813.6373483357,1376.0671894605223
52,B.1.1.7.RBD,476.4756317792866,349.8268864517008,345928.5470056,403387.6536306223
52,B.1.1.7.S,82656.65544833019,2470.1219748194358,1268915.2081109886,867621.6045910005
52,B.1.351.RBD,2.910069947457689,2.9148234069732357,289468.0545537268,532015.8964677571
52,B.1.351.S,777253.2562470352,3051.3662105669623,1264333.7912848643,795758.308444289
52,B.1.617.2.RBD,0.02606049295002233,0.026061810229708226,133498.34529967242,411993.5112878287
52,B.617.1.RBD,0.3517546537397212,0.35192426427560264,204682.61853098572,407673.5997344939
52,B.617.1.S,24118.075419423974,1066.9796264018466,645880.5207538753,991145.651075143
52,B.617.2.S,10613.467509106242,1406.6003911101002,1061765.9244392128,1032651.8484679455
52,WT.N,68.90888487241006,78.34440350122341,244977.7587144619,412110.1953846819
52,WT.NTD,0.06176361425266958,0.06177172768751373,176100.3365419432,441831.9746262495
52,WT.RBD,307624.59371699987,2248.275999884106,1196175.5450548977,362537.03247058636
52,WT.S,318.6355283220433,261.3894871142624,748237.7089180361,830507.503890682
52,WT.S1,226.69289782837168,191.70965670011037,761238.2596739461,725137.8975498432
52,WT.S2,0.5601010655101517,0.560663425442006,159781.43221053915,611539.7157158732
53,B.1.1.7.RBD,7.734540260239721,7.840120323814279,185495.91859197168,347071.25648552814
53,B.1.1.7.S,0.2089193450113696,0.20897237559385037,184869.235357931,353855.96278146055
53,B.1.351.RBD,0.0443872087133452,0.044393336700288076,131694.65481041724,597721.9372665295
53,B.1.351.S,0.24991535576971569,0.24991789948337534,324056.30957315373,931475.958973779
53,B.1.617.2.RBD,0.00776453469362182,0.007764686205272491,108921.30135269614,350726.30826794746
53,B.617.1.RBD,0.031458603148060975,0.0314673069564273,110129.05777079018,375954.7274755255
53,B.617.1.S,1211.8954390134134,2317.9722469181434,645339.0168887213,620627.2565478258
53,B.617.2.S,1.4128062431326744,1.4126359985878523,255331.086040232,359043.9557443651
53,WT.N,133.06182885491575,175.3812220142584,287028.3614268835,372942.7411855277
53,WT.NTD,0.01735545873074625,0.017356158681659583,153819.26244877535,413532.80917115795
53,WT.RBD,0.7168828615615306,0.7174874271575016,207909.29108855478,367332.93319174205
53,WT.S,0.02129371298495839,0.02129462674268031,135310.23455829028,460283.9454627171
53,WT.S1,0.008413968537273882,0.00841416353076549,125137.69261720462,405544.4008018446
53,WT.S2,0.43227503325961797,0.4325398286308152,167188.70928725955,371646.74072346254
54,B.1.1.7.RBD,285613.2486759116,1323.454976947664,1310685.6198590407,711.4011518352468
54,B.1.1.7.S,1336065.1976755771,3217.391753127823,2324623.2624177034,824.7238182323545
54,B.1.351.RBD,19614.028819895517,2019.6610436320266,1159326.5661964186,368318.78336709074
54,B.1.351.S,1371965.5541161753,2712.5461936669158,2573437.047709849,798.2203631158615
54,B.1.617.2.RBD,42.23441959098815,41.011379627412765,579837.8304546677,206653.52582447126
54,B.617.1.RBD,1086.7059260295246,702.2727259812287,974489.5619326133,324084.56471302116
54,B.617.1.S,878353.0716039774,9192.50729742603,2400262.742721276,1654.260631941702
54,B.617.2.S,1256428.3493501586,2979.8695464085827,2274538.5793048027,876.8963609322975
54,WT.N,20627.973538858263,429083.8138689819,2240107.871861559,196046.48141312102
54,WT.NTD,2.213758060647924,2.217846893260116,432577.9014543333,491796.6015879043
54,WT.RBD,1715021.6507483374,1320.7858679849328,2049491.646471617,383.19135727318684
54,WT.S,963235.7295023191,7417.051852356089,1930993.0171139166,1916.4772811286282
54,WT.S1,1227844.548529535,1368.0997500734488,1636670.2370678252,419.7614148001828
54,WT.S2,1453200.905677164,1804.7229939444715,2562031.8904668493,693.4641862910338
55,B.1.1.7.RBD,17109.152294870895,676.4704473634728,480695.1952521309,1789292.8041728325
55,B.1.1.7.S,594041.2817821479,319396.18290948705,2276322.5218545827,13098248.8982119
55,B.1.351.RBD,552.704140482056,362.6781243901872,492854.52989868994,2487287.7634577155
55,B.1.351.S,1871268.846137972,24554.309830973027,2479508.365625446,16190409.175987722
55,B.1.617.2.RBD,1.5807812828463954,1.580257957532135,231834.67784843617,631938.6552524748
55,B.617.1.RBD,16.30121167412398,16.084299785747024,343232.22342976806,1317812.1494012512
55,B.617.1.S,2432839.2320677335,11856.05173897125,1564786.7420422114,15410501.672495216
55,B.617.2.S,456842.99010677374,1183363.9976240192,2900342.6073108646,16336412.017072707
55,WT.N,175.18330101905218,212.1292586481257,225777.337274589,720993.3599417902
55,WT.NTD,0.021633632613401024,0.021635059172614914,122206.75177417278,655818.9078595126
55,WT.RBD,1999078.6883313677,11401.679975438317,1247765.1505602065,11361806.48770546
55,WT.S,107295.16768983607,301807.056009905,2434590.033443356,13606299.080625387
55,WT.S1,68601.95548702373,2520.069682713397,1519454.583434497,9266260.532200772
55,WT.S2,17432.010196695814,850.9617786625635,583826.6479360599,4064013.099983918
56,B.1.1.7.RBD,30.385484225100328,31.14954763599516,243130.01325992314,382368.8485245053
